score,language,counter
-0.99,en,4
-0.98,en,31
-0.97,de,4
-0.97,en,61
-0.96,de,1
-0.96,en,67
-0.95,de,12
-0.95,en,90
-0.95,es,1
-0.94,de,1
-0.94,en,146
-0.93,en,173
-0.93,es,1
-0.93,fr,1
-0.92,de,4
-0.92,en,187
-0.91,de,29
-0.91,en,234
-0.91,ro,1
-0.9,cy,2
-0.9,de,1
-0.9,en,362
-0.9,it,1
-0.9,ja,1
-0.9,tl,1
-0.89,cy,1
-0.89,de,2
-0.89,en,347
-0.88,en,359
-0.88,fr,1
-0.88,it,1
-0.88,nl,1
-0.88,und,1
-0.87,de,2
-0.87,en,311
-0.87,et,1
-0.86,ca,1
-0.86,cy,1
-0.86,de,6
-0.86,en,348
-0.86,es,4
-0.86,pl,1
-0.85,cy,1
-0.85,de,6
-0.85,en,352
-0.85,es,1
-0.85,fr,1
-0.85,ja,1
-0.84,de,6
-0.84,en,589
-0.84,tl,1
-0.84,und,1
-0.84,vi,1
-0.83,de,87
-0.83,en,489
-0.83,es,1
-0.83,nl,7
-0.83,und,1
-0.83,zh,1
-0.82,cy,1
-0.82,en,891
-0.82,fr,1
-0.82,ht,1
-0.82,ja,1
-0.82,nl,2
-0.82,zh,1
-0.81,cy,5
-0.81,en,1027
-0.81,es,2
-0.81,et,1
-0.81,ja,3
-0.81,kn,1
-0.8,cy,2
-0.8,de,1
-0.8,en,537
-0.8,es,2
-0.8,ja,3
-0.8,ko,1
-0.8,pl,3
-0.8,ro,1
-0.79,en,483
-0.79,es,2
-0.79,nl,1
-0.78,cy,1
-0.78,de,4
-0.78,en,851
-0.78,es,4
-0.78,fr,2
-0.78,in,1
-0.78,ja,1
-0.78,und,1
-0.78,zh,2
-0.77,cy,1
-0.77,de,2
-0.77,en,648
-0.77,es,1
-0.77,et,1
-0.77,ja,1
-0.77,tl,2
-0.76,cy,3
-0.76,en,799
-0.76,es,2
-0.76,fr,1
-0.76,ja,2
-0.76,pt,1
-0.76,und,1
-0.75,cy,1
-0.75,de,2
-0.75,en,366
-0.75,es,4
-0.75,in,1
-0.75,pt,2
-0.74,cy,1
-0.74,en,709
-0.74,es,3
-0.74,fr,1
-0.74,in,3
-0.74,ja,4
-0.74,tl,2
-0.74,ur,1
-0.73,cy,1
-0.73,en,572
-0.73,ja,1
-0.73,pl,1
-0.72,cy,8
-0.72,de,1
-0.72,en,376
-0.72,es,2
-0.72,pt,1
-0.71,de,2
-0.71,en,504
-0.71,es,2
-0.71,fr,2
-0.71,ja,4
-0.7,cy,6
-0.7,de,1
-0.7,en,432
-0.7,es,10
-0.7,in,1
-0.7,ko,1
-0.7,nl,1
-0.7,pt,2
-0.7,und,1
-0.69,cy,1
-0.69,de,1
-0.69,en,442
-0.69,it,3
-0.69,ja,2
-0.68,cy,15
-0.68,de,5
-0.68,en,734
-0.68,es,6
-0.68,fa,1
-0.68,fr,1
-0.68,ja,2
-0.68,sv,1
-0.68,und,1
-0.67,cy,1
-0.67,de,4
-0.67,en,470
-0.67,fr,1
-0.67,in,1
-0.67,it,1
-0.67,ja,1
-0.67,pl,1
-0.67,ta,1
-0.67,tl,1
-0.67,und,1
-0.67,zh,1
-0.66,cy,2
-0.66,de,5
-0.66,en,493
-0.66,fr,1
-0.66,in,1
-0.66,nl,1
-0.65,ar,1
-0.65,cy,206
-0.65,de,3
-0.65,el,1
-0.65,en,1601
-0.65,es,2
-0.65,et,1
-0.65,fr,9
-0.65,in,1
-0.65,ja,7
-0.65,nl,1
-0.65,pl,2
-0.65,pt,1
-0.65,tl,1
-0.65,und,1
-0.64,ar,1
-0.64,cy,2
-0.64,de,35
-0.64,en,512
-0.64,es,1
-0.64,fr,3
-0.64,kn,1
-0.64,nl,1
-0.64,ta,1
-0.64,und,3
-0.63,cy,4
-0.63,de,14
-0.63,en,109
-0.63,es,3
-0.63,in,1
-0.63,und,1
-0.62,de,1
-0.62,en,488
-0.62,es,6
-0.62,fr,1
-0.62,it,1
-0.62,pl,1
-0.62,und,2
-0.61,ar,1
-0.61,cy,3
-0.61,en,480
-0.61,es,5
-0.61,in,1
-0.61,zh,1
-0.6,bn,7
-0.6,ca,2
-0.6,cs,2
-0.6,cy,41
-0.6,de,286
-0.6,en,7235
-0.6,es,20
-0.6,et,3
-0.6,fa,1
-0.6,fi,2
-0.6,fr,9
-0.6,hi,64
-0.6,in,6
-0.6,ja,40
-0.6,kn,1
-0.6,ko,1
-0.6,ml,1
-0.6,mr,12
-0.6,nl,15
-0.6,pa,3
-0.6,pt,1
-0.6,ta,1
-0.6,te,1
-0.6,th,2
-0.6,tl,7
-0.6,uk,1
-0.6,und,36
-0.6,ur,2
-0.6,zh,9
-0.59,cy,1
-0.59,en,478
-0.59,it,1
-0.59,lv,1
-0.59,no,1
-0.59,pt,3
-0.59,tl,1
-0.59,und,1
-0.58,en,149
-0.58,pt,1
-0.58,und,1
-0.57,cy,2
-0.57,en,972
-0.57,es,9
-0.57,et,1
-0.57,it,1
-0.57,ja,1
-0.57,nl,1
-0.57,pl,1
-0.57,pt,3
-0.57,tl,1
-0.57,und,2
-0.57,zh,2
-0.56,ar,2
-0.56,ca,1
-0.56,cs,1
-0.56,cy,547
-0.56,da,1
-0.56,de,4
-0.56,en,7876
-0.56,es,51
-0.56,fa,2
-0.56,fi,4
-0.56,fr,5
-0.56,hi,17
-0.56,in,6
-0.56,it,5
-0.56,iw,3
-0.56,ja,113
-0.56,km,1
-0.56,ko,7
-0.56,pl,15
-0.56,pt,2
-0.56,ro,2
-0.56,si,1
-0.56,sl,1
-0.56,sv,1
-0.56,ta,1
-0.56,te,1
-0.56,th,2
-0.56,tl,5
-0.56,und,39
-0.56,zh,12
-0.55,en,97
-0.54,en,436
-0.54,es,2
-0.54,et,5
-0.54,fr,1
-0.54,ht,1
-0.54,ja,1
-0.54,nl,2
-0.54,tl,1
-0.54,und,1
-0.53,ca,1
-0.53,cy,26
-0.53,de,1
-0.53,en,1679
-0.53,es,29
-0.53,ht,3
-0.53,in,2
-0.53,ja,2
-0.53,ne,1
-0.53,pt,1
-0.53,tl,2
-0.53,und,3
-0.52,cy,1
-0.52,en,93
-0.52,es,3
-0.52,fr,2
-0.52,hi,1
-0.52,pl,1
-0.52,ta,2
-0.51,cy,1
-0.51,de,1
-0.51,en,442
-0.51,es,2
-0.51,fr,1
-0.51,in,20
-0.51,it,2
-0.51,ja,2
-0.51,pl,1
-0.5,cy,2
-0.5,en,83
-0.5,es,1
-0.49,cy,1
-0.49,en,553
-0.49,es,4
-0.49,fr,1
-0.49,in,2
-0.49,ja,1
-0.49,pt,1
-0.49,tl,1
-0.48,ar,1
-0.48,cy,1
-0.48,en,1120
-0.48,es,2
-0.48,et,1
-0.48,fi,1
-0.48,fr,3
-0.48,hi,1
-0.48,ht,1
-0.48,in,3
-0.48,it,1
-0.48,ja,3
-0.48,tl,6
-0.48,und,5
-0.47,en,169
-0.47,es,8
-0.47,und,1
-0.46,cy,1
-0.46,en,636
-0.46,fr,18
-0.46,ht,1
-0.46,hu,1
-0.46,in,1
-0.46,it,8
-0.46,nl,2
-0.46,sv,1
-0.46,tl,1
-0.46,und,2
-0.45,en,101
-0.45,es,5
-0.45,fr,1
-0.45,pl,1
-0.45,und,1
-0.44,cy,37
-0.44,de,1
-0.44,en,1061
-0.44,es,2
-0.44,fr,1
-0.44,hi,1
-0.44,in,11
-0.44,ja,2
-0.44,mr,1
-0.44,pl,2
-0.44,pt,2
-0.44,qam,1
-0.44,ro,1
-0.44,und,4
-0.43,en,75
-0.43,es,1
-0.43,nl,1
-0.42,cy,8
-0.42,de,6
-0.42,en,1392
-0.42,es,4
-0.42,fi,6
-0.42,fr,4
-0.42,hi,3
-0.42,in,2
-0.42,ja,5
-0.42,pt,2
-0.42,und,3
-0.42,zh,1
-0.41,en,71
-0.41,es,4
-0.4,cy,4
-0.4,en,703
-0.4,es,3
-0.4,fr,3
-0.4,ja,1
-0.4,nl,2
-0.4,pl,2
-0.4,tl,1
-0.4,und,4
-0.39,en,93
-0.39,fr,2
-0.38,de,1
-0.38,en,581
-0.38,es,1
-0.38,et,2
-0.38,fr,6
-0.38,hi,1
-0.38,in,1
-0.38,und,1
-0.38,zh,1
-0.37,en,55
-0.37,es,6
-0.37,pt,1
-0.37,tl,1
-0.37,und,1
-0.37,zh,1
-0.36,ca,5
-0.36,cy,11
-0.36,de,2
-0.36,en,1045
-0.36,es,39
-0.36,fr,2
-0.36,hi,4
-0.36,ht,2
-0.36,in,9
-0.36,iw,1
-0.36,ja,3
-0.36,pt,5
-0.36,tl,9
-0.36,und,5
-0.36,ur,1
-0.36,zh,1
-0.35,en,99
-0.34,cy,3
-0.34,de,1
-0.34,en,670
-0.34,et,1
-0.34,fr,2
-0.34,hi,1
-0.34,ht,2
-0.34,it,1
-0.34,ja,1
-0.34,qam,1
-0.34,tl,2
-0.33,en,101
-0.33,hi,1
-0.33,in,1
-0.32,de,2
-0.32,en,711
-0.32,es,3
-0.32,fi,1
-0.32,fr,6
-0.32,hi,1
-0.32,in,2
-0.32,ja,2
-0.32,tl,3
-0.32,und,1
-0.31,en,87
-0.3,ca,1
-0.3,cs,2
-0.3,cy,2
-0.3,de,1
-0.3,en,1193
-0.3,es,278
-0.3,et,1
-0.3,fr,1
-0.3,hi,2
-0.3,ht,2
-0.3,in,4
-0.3,it,31
-0.3,ja,3
-0.3,pl,3
-0.3,pt,19
-0.3,tl,5
-0.3,und,9
-0.29,en,185
-0.29,ta,1
-0.28,en,89
-0.28,it,1
-0.28,ja,1
-0.27,cy,6
-0.27,en,774
-0.27,es,3
-0.27,fr,6
-0.27,in,2
-0.27,it,1
-0.27,ja,1
-0.27,ro,4
-0.27,und,1
-0.27,zh,2
-0.26,en,89
-0.25,cy,1
-0.25,de,8
-0.25,en,556
-0.25,es,1
-0.25,et,3
-0.25,fr,1
-0.25,in,2
-0.25,it,1
-0.25,ja,1
-0.24,de,3
-0.24,en,90
-0.24,es,1
-0.24,ja,1
-0.23,cy,2
-0.23,de,1
-0.23,en,585
-0.23,es,2
-0.23,fr,2
-0.23,hi,1
-0.23,it,1
-0.23,pt,2
-0.23,tl,1
-0.23,zh,1
-0.22,cy,1
-0.22,de,2
-0.22,en,209
-0.21,en,66
-0.21,es,1
-0.2,cy,1
-0.2,en,761
-0.2,es,1
-0.2,fr,7
-0.2,it,1
-0.2,th,2
-0.2,tl,1
-0.2,zh,2
-0.19,en,51
-0.18,de,6
-0.18,en,778
-0.18,fr,1
-0.18,ja,1
-0.18,und,1
-0.17,en,86
-0.16,en,40
-0.15,ca,1
-0.15,de,1
-0.15,en,901
-0.15,es,3
-0.15,fi,2
-0.15,fr,3
-0.15,in,4
-0.15,it,1
-0.15,ja,7
-0.15,pt,1
-0.15,ro,1
-0.15,zh,2
-0.14,en,66
-0.14,ro,1
-0.13,en,535
-0.13,es,3
-0.13,fr,40
-0.13,ht,1
-0.13,ta,1
-0.12,en,64
-0.11,en,25
-0.11,und,1
-0.1,ca,2
-0.1,cs,1
-0.1,cy,1
-0.1,de,13
-0.1,en,1161
-0.1,es,4
-0.1,et,1
-0.1,fr,2
-0.1,hi,2
-0.1,in,3
-0.1,it,1
-0.1,ja,1
-0.1,nl,2
-0.1,pl,1
-0.1,und,3
-0.09,en,114
-0.08,de,3
-0.08,en,566
-0.08,es,1
-0.08,fr,1
-0.08,hi,1
-0.08,ht,1
-0.08,in,2
-0.08,nl,1
-0.08,pl,1
-0.08,und,2
-0.07,en,33
-0.06,en,52
-0.05,en,955
-0.05,fr,1
-0.05,in,2
-0.05,it,2
-0.05,ja,2
-0.05,ro,1
-0.05,ta,1
-0.05,und,4
-0.04,en,68
-0.04,fr,1
-0.03,cy,3
-0.03,en,766
